normMLT MLAT vSaps azim vMagnErr azimErr dtStr tmStr
2.0 57.0 358.56 -14.05 7.53 27.89 20110409 0800
3.0 57.0 358.56 -14.05 7.53 27.89 20110409 0800
2.0 57.5 358.56 -14.05 7.53 27.89 20110409 0800
3.0 57.5 358.56 -14.05 7.53 27.89 20110409 0800
2.0 58.0 416.32 -8.46 7.31 35.34 20110409 0800
3.0 58.0 416.32 -8.46 7.31 35.34 20110409 0800
-1.0 58.5 1000.07 -11.23 20.03 39.92 20110409 0800
2.0 58.5 416.32 -8.46 7.31 35.34 20110409 0800
3.0 58.5 416.32 -8.46 7.31 35.34 20110409 0800
-1.0 59.0 668.92 -14.0 9.93 16.87 20110409 0800
0.0 59.0 668.92 -14.0 9.93 16.87 20110409 0800
1.0 59.0 472.93 -18.24 16.94 33.14 20110409 0800
-1.0 59.5 653.34 -18.88 8.27 9.82 20110409 0800
0.0 59.5 653.34 -18.88 8.27 9.82 20110409 0800
1.0 58.0 353.42 -18.24 16.94 33.14 20110409 0800
0.0 58.5 1096.43 -14.6 17.06 39.91 20110409 0800
1.0 58.5 299.62 -18.24 16.94 33.14 20110409 0800
-2.0 59.0 1265.01 -12.48 12.66 21.5 20110409 0800
2.0 59.0 473.13 -4.69 6.32 48.36 20110409 0800
-2.0 59.5 3242.85 -13.5 16.82 31.43 20110409 0800
1.0 59.5 504.23 -18.24 16.94 33.14 20110409 0800
-2.0 60.0 4104.64 -13.5 16.82 31.43 20110409 0800
-1.0 60.0 932.87 -13.5 16.82 31.43 20110409 0800
-2.0 60.5 1803.8 -13.5 16.82 31.43 20110409 0800
-1.0 60.5 496.73 -13.5 16.82 31.43 20110409 0800
1.0 57.0 445.85 -4.22 3.23 37.61 20110409 0810
2.0 57.0 396.25 -7.28 4.07 30.3 20110409 0810
3.0 57.0 396.25 -7.28 4.07 30.3 20110409 0810
1.0 57.5 445.85 -4.22 3.23 37.61 20110409 0810
2.0 57.5 392.71 -7.19 4.04 28.83 20110409 0810
3.0 57.5 356.65 -10.02 5.1 25.31 20110409 0810
1.0 58.0 239.27 19.25 7.51 36.52 20110409 0810
2.0 58.0 367.11 -7.17 4.48 30.72 20110409 0810
3.0 58.0 324.14 -10.87 4.36 18.38 20110409 0810
1.0 58.5 320.58 -19.47 13.7 26.22 20110409 0810
2.0 58.5 320.58 -19.47 13.7 26.22 20110409 0810
3.0 58.5 291.78 -9.11 4.41 22.44 20110409 0810
-1.0 59.0 1496.17 -19.75 14.53 15.97 20110409 0810
0.0 59.0 1496.17 -19.75 14.53 15.97 20110409 0810
1.0 59.0 320.58 -19.47 13.7 26.22 20110409 0810
2.0 59.0 320.58 -19.47 13.7 26.22 20110409 0810
3.0 56.5 596.05 -7.84 5.29 37.55 20110409 0810
0.0 58.5 2165.2 -19.75 14.53 15.97 20110409 0810
-1.0 59.5 2443.11 -19.75 14.53 15.97 20110409 0810
0.0 59.5 980.21 -19.75 14.53 15.97 20110409 0810
1.0 59.5 319.51 -18.58 11.7 27.56 20110409 0810
-1.0 60.0 2283.67 -19.75 14.53 15.97 20110409 0810
0.0 58.0 356.62 -19.85 4.61 11.14 20110409 0820
1.0 58.0 356.62 -19.85 4.61 11.14 20110409 0820
2.0 58.0 373.72 -12.04 8.71 30.83 20110409 0820
3.0 58.0 381.5 -4.54 4.89 48.98 20110409 0820
0.0 58.5 447.7 -17.54 17.82 44.51 20110409 0820
1.0 58.5 363.64 -18.55 9.89 20.42 20110409 0820
2.0 58.5 363.64 -18.55 9.89 20.42 20110409 0820
0.0 59.0 779.19 -15.74 26.05 45.11 20110409 0820
1.0 59.0 310.63 -17.64 6.66 16.5 20110409 0820
2.0 59.0 310.63 -17.64 6.66 16.5 20110409 0820
-1.0 59.5 1045.94 -19.9 24.3 40.03 20110409 0820
0.0 59.5 1045.94 -19.9 24.3 40.03 20110409 0820
1.0 59.5 293.42 -14.93 9.33 28.77 20110409 0820
2.0 59.5 293.42 -14.93 9.33 28.77 20110409 0820
-1.0 60.0 1045.94 -19.9 24.3 40.03 20110409 0820
0.0 60.0 1045.94 -19.9 24.3 40.03 20110409 0820
2.0 57.0 418.61 -4.54 4.89 48.98 20110409 0820
3.0 57.0 390.14 -4.54 4.89 48.98 20110409 0820
1.0 57.5 350.12 -19.85 4.61 11.14 20110409 0820
2.0 57.5 486.35 -4.54 4.89 48.98 20110409 0820
3.0 57.5 362.63 -4.54 4.89 48.98 20110409 0820
3.0 58.5 274.07 -4.54 4.89 48.98 20110409 0820
-1.0 59.0 2189.01 -19.9 24.3 40.03 20110409 0820
-1.0 60.5 637.63 -19.9 24.3 40.03 20110409 0820
1.0 57.5 288.9 17.89 4.55 25.56 20110409 0830
2.0 57.5 288.9 17.89 4.55 25.56 20110409 0830
0.0 58.0 465.58 -15.51 12.46 34.11 20110409 0830
1.0 58.0 286.62 16.46 4.05 23.96 20110409 0830
2.0 58.0 286.62 16.46 4.05 23.96 20110409 0830
-1.0 58.5 946.82 -9.96 5.33 11.1 20110409 0830
0.0 58.5 946.82 -9.96 5.33 11.1 20110409 0830
1.0 58.5 381.07 -19.8 6.92 14.2 20110409 0830
2.0 58.5 381.07 -19.8 6.92 14.2 20110409 0830
-1.0 59.0 1239.49 -16.77 10.05 15.43 20110409 0830
0.0 59.0 1239.49 -16.77 10.05 15.43 20110409 0830
1.0 59.0 381.07 -19.8 6.92 14.2 20110409 0830
2.0 59.0 381.07 -19.8 6.92 14.2 20110409 0830
-1.0 59.5 1051.81 -18.95 16.99 30.03 20110409 0830
0.0 59.5 1051.81 -18.95 16.99 30.03 20110409 0830
1.0 59.5 301.19 -15.54 6.35 19.52 20110409 0830
2.0 59.5 301.19 -15.54 6.35 19.52 20110409 0830
2.0 57.0 475.01 4.92 3.87 44.84 20110409 0830
3.0 57.0 398.58 4.92 3.87 44.84 20110409 0830
3.0 57.5 367.2 4.92 3.87 44.84 20110409 0830
3.0 58.0 377.36 6.13 3.86 35.67 20110409 0830
3.0 58.5 291.19 6.13 3.86 35.67 20110409 0830
-1.0 60.0 597.23 -19.39 25.8 47.6 20110409 0830
2.0 57.0 475.44 -4.31 4.1 47.77 20110409 0840
1.0 57.5 283.66 18.24 3.86 27.27 20110409 0840
2.0 57.5 283.66 18.24 3.86 27.27 20110409 0840
0.0 58.0 1236.44 -16.34 2.07 2.95 20110409 0840
1.0 58.0 283.66 18.24 3.86 27.27 20110409 0840
2.0 58.0 283.66 18.24 3.86 27.27 20110409 0840
0.0 58.5 1236.44 -16.34 2.07 2.95 20110409 0840
1.0 58.5 449.02 -16.19 10.05 27.68 20110409 0840
2.0 58.5 433.24 -18.93 9.55 17.75 20110409 0840
0.0 59.0 1358.2 -17.74 2.64 3.68 20110409 0840
3.0 56.5 509.53 -4.31 4.1 47.77 20110409 0840
3.0 57.0 551.37 -4.31 4.1 47.77 20110409 0840
3.0 57.5 519.48 -4.31 4.1 47.77 20110409 0840
3.0 58.0 429.51 -11.4 10.09 34.61 20110409 0840
-1.0 58.5 1070.69 -16.89 3.73 5.5 20110409 0840
3.0 58.5 318.32 -18.93 9.55 17.75 20110409 0840
-1.0 59.0 1369.0 -19.23 3.68 4.86 20110409 0840
1.0 59.0 1368.63 -14.48 12.72 41.45 20110409 0840
2.0 59.0 311.57 -18.93 9.55 17.75 20110409 0840
-1.0 59.5 1063.37 -19.23 3.68 4.86 20110409 0840
0.0 59.5 1351.2 -19.23 3.68 4.86 20110409 0840
1.0 59.5 491.96 -19.23 3.68 4.86 20110409 0840
-1.0 60.0 884.84 -19.23 3.68 4.86 20110409 0840
0.0 60.0 688.65 -19.23 3.68 4.86 20110409 0840
2.0 57.0 510.19 -4.64 3.47 44.08 20110409 0850
3.0 57.0 434.17 -5.09 3.63 37.36 20110409 0850
2.0 57.5 462.88 -3.16 2.83 42.27 20110409 0850
3.0 57.5 434.17 -5.09 3.63 37.36 20110409 0850
0.0 58.0 963.44 -19.56 7.37 9.34 20110409 0850
3.0 58.0 426.33 -4.2 4.18 45.13 20110409 0850
0.0 58.5 963.44 -19.56 7.37 9.34 20110409 0850
3.0 56.0 319.58 -5.9 4.24 41.43 20110409 0850
3.0 56.5 501.61 -5.9 4.24 41.43 20110409 0850
4.0 56.5 303.73 -5.9 4.24 41.43 20110409 0850
4.0 57.0 310.4 -5.9 4.24 41.43 20110409 0850
1.0 57.5 274.42 -4.64 3.47 44.08 20110409 0850
4.0 57.5 256.62 -4.96 3.83 38.15 20110409 0850
1.0 58.0 882.65 -19.56 7.37 9.34 20110409 0850
2.0 58.0 514.98 -4.64 3.47 44.08 20110409 0850
-1.0 58.5 1249.86 -19.56 7.37 9.34 20110409 0850
1.0 58.5 860.09 -19.56 7.37 9.34 20110409 0850
2.0 58.5 244.59 -3.16 2.83 42.27 20110409 0850
3.0 58.5 497.33 -4.2 4.18 45.13 20110409 0850
-1.0 59.0 1344.88 -19.56 7.37 9.34 20110409 0850
0.0 59.0 1349.88 -19.56 7.37 9.34 20110409 0850
1.0 59.0 653.69 -19.56 7.37 9.34 20110409 0850
3.0 56.5 333.65 -4.65 3.1 40.69 20110409 0900
3.0 57.0 333.65 -4.65 3.1 40.69 20110409 0900
2.0 57.5 212.2 18.11 9.61 47.09 20110409 0900
2.0 58.0 212.2 18.11 9.61 47.09 20110409 0900
2.0 58.5 355.53 -7.23 8.41 41.34 20110409 0900
3.0 58.5 355.53 -7.23 8.41 41.34 20110409 0900
0.0 59.5 889.79 -19.77 33.18 46.37 20110409 0900
1.0 59.5 889.79 -19.77 33.18 46.37 20110409 0900
4.0 56.0 213.5 -5.49 4.23 49.76 20110409 0900
4.0 57.0 215.87 -3.11 2.78 49.99 20110409 0900
1.0 57.5 253.45 18.11 9.61 47.09 20110409 0900
3.0 57.5 370.02 -3.11 2.78 49.99 20110409 0900
4.0 57.5 225.77 -3.11 2.78 49.99 20110409 0900
1.0 58.0 262.85 17.42 7.88 47.2 20110409 0900
3.0 58.0 352.41 -3.11 2.78 49.99 20110409 0900
1.0 58.5 598.74 -19.77 33.18 46.37 20110409 0900
0.0 59.0 1494.94 -19.77 33.18 46.37 20110409 0900
1.0 59.0 990.33 -19.77 33.18 46.37 20110409 0900
2.0 59.0 164.82 17.42 7.88 47.2 20110409 0900
0.0 60.0 1085.7 -19.77 33.18 46.37 20110409 0900
