MLT MLAT prob_pred dst_index mean_vel_pred azim_pred
24 57.5 0.2 -3.0 450.74 -11.66
1 57.5 0.22 -3.0 464.21 -11.22
23 58.0 0.22 -3.0 457.33 -12.11
24 58.0 0.29 -3.0 466.56 -11.66
1 58.0 0.29 -3.0 480.51 -11.22
2 58.0 0.23 -3.0 499.16 -10.78
22 58.5 0.2 -3.0 468.4 -12.55
23 58.5 0.31 -3.0 473.11 -12.11
24 58.5 0.38 -3.0 482.69 -11.66
1 58.5 0.37 -3.0 497.11 -11.22
2 58.5 0.28 -3.0 516.39 -10.78
22 59.0 0.29 -3.0 484.29 -12.55
23 59.0 0.42 -3.0 489.2 -12.11
24 59.0 0.49 -3.0 499.12 -11.66
1 59.0 0.44 -3.0 514.04 -11.22
2 59.0 0.31 -3.0 533.96 -10.78
21 59.5 0.22 -3.0 500.5 -12.99
22 59.5 0.39 -3.0 500.48 -12.55
23 59.5 0.54 -3.0 505.6 -12.11
24 59.5 0.59 -3.0 515.87 -11.66
1 59.5 0.5 -3.0 531.3 -11.22
2 59.5 0.34 -3.0 551.88 -10.78
21 60.0 0.3 -3.0 516.94 -12.99
22 60.0 0.5 -3.0 516.98 -12.55
23 60.0 0.66 -3.0 522.32 -12.11
24 60.0 0.68 -3.0 532.96 -11.66
1 60.0 0.55 -3.0 548.9 -11.22
2 60.0 0.35 -3.0 570.14 -10.78
21 60.5 0.39 -3.0 533.67 -12.99
22 60.5 0.62 -3.0 533.8 -12.55
23 60.5 0.77 -3.0 539.37 -12.11
24 60.5 0.74 -3.0 550.39 -11.66
1 60.5 0.57 -3.0 566.85 -11.22
2 60.5 0.34 -3.0 588.77 -10.78
20 61.0 0.25 -3.0 556.09 -13.43
21 61.0 0.48 -3.0 550.72 -12.99
22 61.0 0.72 -3.0 550.94 -12.55
23 61.0 0.84 -3.0 556.76 -12.11
24 61.0 0.77 -3.0 568.17 -11.66
1 61.0 0.56 -3.0 585.17 -11.22
2 61.0 0.31 -3.0 607.77 -10.78
20 61.5 0.32 -3.0 573.49 -13.43
21 61.5 0.57 -3.0 568.09 -12.99
22 61.5 0.8 -3.0 568.42 -12.55
23 61.5 0.89 -3.0 574.49 -12.11
24 61.5 0.77 -3.0 586.3 -11.66
1 61.5 0.52 -3.0 603.85 -11.22
2 61.5 0.28 -3.0 627.15 -10.78
20 62.0 0.38 -3.0 591.18 -13.43
21 62.0 0.64 -3.0 585.76 -12.99
22 62.0 0.85 -3.0 586.22 -12.55
23 62.0 0.88 -3.0 592.56 -12.11
24 62.0 0.72 -3.0 604.79 -11.66
1 62.0 0.46 -3.0 622.91 -11.22
2 62.0 0.23 -3.0 646.92 -10.78
19 62.5 0.21 -3.0 620.58 -13.88
20 62.5 0.43 -3.0 609.15 -13.43
21 62.5 0.68 -3.0 603.74 -12.99
22 62.5 0.85 -3.0 604.34 -12.55
23 62.5 0.84 -3.0 610.97 -12.11
24 62.5 0.65 -3.0 623.64 -11.66
1 62.5 0.39 -3.0 642.33 -11.22
19 63.0 0.24 -3.0 638.88 -13.88
20 63.0 0.46 -3.0 627.35 -13.43
21 63.0 0.69 -3.0 621.97 -12.99
22 63.0 0.82 -3.0 622.75 -12.55
23 63.0 0.76 -3.0 629.69 -12.11
24 63.0 0.55 -3.0 642.81 -11.66
1 63.0 0.31 -3.0 662.1 -11.22
19 63.5 0.26 -3.0 657.24 -13.88
20 63.5 0.47 -3.0 645.67 -13.43
21 63.5 0.67 -3.0 640.37 -12.99
22 63.5 0.75 -3.0 641.35 -12.55
23 63.5 0.65 -3.0 648.64 -12.11
24 63.5 0.45 -3.0 662.23 -11.66
1 63.5 0.24 -3.0 682.14 -11.22
19 64.0 0.27 -3.0 675.36 -13.88
20 64.0 0.46 -3.0 663.83 -13.43
21 64.0 0.61 -3.0 658.69 -12.99
22 64.0 0.65 -3.0 659.94 -12.55
23 64.0 0.53 -3.0 667.62 -12.11
24 64.0 0.35 -3.0 681.73 -11.66
19 64.5 0.26 -3.0 692.32 -13.88
20 64.5 0.42 -3.0 681.05 -13.43
21 64.5 0.53 -3.0 676.23 -12.99
22 64.5 0.53 -3.0 677.89 -12.55
23 64.5 0.42 -3.0 686.05 -12.11
24 64.5 0.25 -3.0 700.74 -11.66
