date start_time end_time
20110205 0230 0330
20110302 0100 0230
20110310 0545 0615
20110312 0015 0045
20110403 0400 0600
20110404 0400 0630
20110409 0800 0930
20110413 0400 0600
20110430 0415 0445
20110501 0300 0530
20110502 0100 0630
20110503 0445 0515
20110529 0130 0530
20110531 0630 0830
20110602 0700 0730
20110605 0045 0115
20110608 0430 0500
20110609 0615 0645
20110611 0700 0900
20110620 0815 0845
20110621 0730 0900
20110622 0615 0645
20110623 0630 0730
20110624 0215 0245
20110625 0600 0800
20110701 0630 0830
20110705 0430 0600
20110709 0545 0615
20110720 0600 0700
20110721 0545 0615
20110722 0630 0830
20110723 0630 0930
20110725 0800 0830
20110801 0500 0730
20110806 0100 0400
20110807 0545 0615
20110809 0645 0715
20110810 0815 0845
20110814 0645 0715
20110903 0645 0715
20110904 0700 0730
20110910 0200 0300
20110912 0400 0530
20110913 0230 0400
20110920 0600 0900
20110927 0100 0400
20110928 0445 0515
20110929 0230 0530
20111001 0530 0600
20111007 0730 0800
20111009 0600 0730
20111013 0530 0600
20111025 0230 1030
20111101 0445 0515
20120123 0030 0630
20120124 0200 0630
20120125 0230 0630
20120204 0615 0645
20120207 0500 0530
20120214 0600 0730
20120215 0245 0315
20120219 0400 0630
20120220 0400 0600
20120222 0430 0600
20120226 0715 0745
20120309 0200 0400
20120310 0130 0330
20120311 0400 0630
20120313 0400 0430
20120314 0330 0530
20120315 0330 0600
20120316 0030 0400
20120318 0300 0400
20120319 0430 0500
20120324 0645 0715
20120327 0630 0700
20120328 0200 0800
20120402 0500 0630
20120403 0430 0600
20120405 0600 0730
20120407 0645 0715
20120412 0645 0715
20120413 0000 0700
20120414 0330 0500
20120417 0815 0845
20120420 0630 0800
20120423 0630 0800
20120424 0000 0530
20120425 0130 0330
20120426 0200 0330
20120429 0915 0945
20120503 0715 0745
20120509 0645 0715
20120510 0500 0600
20120511 0345 0415
20120513 0630 0830
20120520 0630 0730
20120523 0430 0830
20120524 0715 0745
20120603 0730 0830
20120605 0500 0630
20120606 0515 0545
20120611 0900 1000
20120612 0415 0445
20120618 0130 0430
20120625 0830 0900
20120626 0700 0900
20120628 0845 0915
20120630 0700 0900
20120701 0430 0600
20120702 0230 0800
20120703 0545 0615
20120704 0630 0730
20120706 0700 0830
20120709 0430 0930
20120710 0400 0700
20120711 0800 1000
20120712 0645 0715
20120716 0000 0330
20120717 0200 0500
20120722 0800 1000
20120729 0745 0815
20120730 0700 1000
20120803 0430 0830
20120806 0945 1015
20120814 0730 0900
20120817 0530 0630
20120820 0230 0830
20120823 0730 0800
20120902 0630 0730
20120903 0200 0230
20120904 0200 0530
20120905 0130 0600
20120907 0530 0800
20120918 0630 0730
20121001 0130 0900
20121008 0300 1000
20121009 0000 0500
20121012 0630 1130
20121013 0200 0500
20121014 0100 0330
20121015 0415 0445
20121017 0800 0830
20121023 0645 0715
20121101 0730 0900
20121114 0100 0600
20121120 0345 0415
20121121 0130 0300
20121124 0200 1000
20130118 0300 0500
20130120 0400 0800
20130222 0600 0730
20130301 0300 0530
20130302 0100 0400
20130303 0400 0530
20130316 0500 1030
20130320 0615 0645
20130321 0300 0500
20130327 0645 0715
20130329 0630 0700
20130330 0100 0500
20130426 0230 0730
20130501 0645 0715
20130502 0130 0300
20130517 0630 0700
20130521 0730 0900
20130525 0600 0800
20130526 0230 0600
20130601 0530 0730
20130602 0200 0600
20130606 0930 1000
20130607 0300 0700
20130610 0230 0730
20130621 0430 0900
20130622 0600 0830
20130624 0700 0900
20130629 0030 0800
20130630 0230 0530
20130701 0915 0945
20130707 0015 0045
20130710 0730 1000
20130711 0330 0500
20130712 0400 0700
20130715 0300 0530
20130805 0700 0930
20130816 0430 0530
20130823 0715 0745
20130828 0230 0400
20130919 0630 0700
20131002 0330 1000
20131007 0615 0645
20131009 0430 1000
20131015 0200 0800
20131109 0430 0530
20131111 0300 0530
20131115 0445 0515
20131116 0100 0400
20131201 0315 0345
20131208 0230 1000
20131214 0415 0445
20140206 0645 0715
20140209 0300 0730
20140210 0730 0800
20140219 0300 1100
20140220 0430 0930
20140222 0230 0700
20140303 0745 0815
20140321 0430 1200
20140326 0800 0830
20140327 1030 1130
20140414 0715 0745
20140430 0615 0645
20140504 0930 1030
20140505 0700 0800
20140510 0815 0845
20140608 0600 0730
20140609 0715 0745
20140621 0715 0745
20140703 0715 0745
20140710 0300 0930
20140726 0630 0800
20140728 0630 0700
20140802 0745 0815
20140804 0630 1000
20140805 0630 0800
20140806 0500 0700
20140901 0630 0700
20140902 0645 0715
20140903 0300 1000
20140905 0830 0900
20140906 0715 0745
20140907 0430 0630
20140911 1000 1100
20140912 0200 0530
20140913 0400 0430
20140919 0515 0545
20140921 0530 0700
20140924 0300 0630
20141001 0030 0800
20141009 0730 1130
20141011 0630 0830
20141015 0245 0315
20141017 0500 0930
20141018 0430 0700
20141105 0430 0530
20141115 0530 0630
20141116 0300 0730
