normMLT MLAT vSaps azim vMagnErr azimErr dtStr tmStr
-6.0 52.5 327.55 -14.14 0.92 3.68 20120618 0240
-5.0 52.5 327.47 -14.03 1.73 5.52 20120618 0240
-6.0 53.0 327.55 -14.14 0.92 3.68 20120618 0240
-5.0 53.0 345.0 -13.89 1.4 4.66 20120618 0240
-6.0 53.5 340.31 -13.39 1.04 3.94 20120618 0240
-5.0 53.5 345.0 -13.89 1.4 4.66 20120618 0240
-4.0 53.5 393.37 8.31 1.58 9.77 20120618 0240
-3.0 53.5 386.87 7.66 1.39 8.2 20120618 0240
-2.0 53.5 386.87 7.66 1.39 8.2 20120618 0240
-6.0 54.0 524.77 -1.96 1.03 40.56 20120618 0240
-5.0 54.0 523.13 -5.39 2.3 24.4 20120618 0240
-4.0 54.0 393.37 8.31 1.58 9.77 20120618 0240
-3.0 54.0 394.61 6.86 1.06 7.63 20120618 0240
-2.0 54.0 394.61 6.86 1.06 7.63 20120618 0240
-6.0 54.5 550.93 -5.78 1.06 13.94 20120618 0240
-5.0 54.5 559.41 -7.31 1.53 12.36 20120618 0240
-4.0 54.5 559.41 -7.31 1.53 12.36 20120618 0240
-3.0 54.5 402.55 6.14 1.55 13.3 20120618 0240
-2.0 54.5 402.55 6.14 1.55 13.3 20120618 0240
-6.0 55.0 575.5 -8.78 1.15 9.4 20120618 0240
-5.0 55.0 575.5 -8.78 1.15 9.4 20120618 0240
-4.0 55.0 592.14 -7.98 1.27 9.43 20120618 0240
-3.0 55.0 565.28 10.13 3.07 20.46 20120618 0240
-2.0 55.0 565.28 10.13 3.07 20.46 20120618 0240
-6.0 55.5 615.75 -11.97 1.25 6.35 20120618 0240
-5.0 55.5 615.75 -11.97 1.25 6.35 20120618 0240
-4.0 55.5 639.0 -8.63 1.11 7.54 20120618 0240
-3.0 55.5 565.28 10.13 3.07 20.46 20120618 0240
-2.0 55.5 565.28 10.13 3.07 20.46 20120618 0240
-6.0 56.0 668.61 -14.37 1.36 4.76 20120618 0240
-5.0 56.0 668.61 -14.37 1.36 4.76 20120618 0240
-4.0 56.0 664.28 -8.61 1.05 6.82 20120618 0240
-3.0 56.0 619.35 7.49 3.69 26.65 20120618 0240
-2.0 56.0 619.35 7.49 3.69 26.65 20120618 0240
-6.0 56.5 675.97 -15.57 1.83 3.57 20120618 0240
-5.0 56.5 726.99 -15.75 1.28 3.58 20120618 0240
-4.0 56.5 697.55 -9.28 1.28 7.36 20120618 0240
-3.0 56.5 685.61 6.09 1.38 11.45 20120618 0240
-2.0 56.5 685.61 6.09 1.38 11.45 20120618 0240
-6.0 57.0 704.83 -14.7 1.32 2.4 20120618 0240
-5.0 57.0 786.57 -15.16 1.21 3.26 20120618 0240
-4.0 57.0 834.54 -9.54 1.35 6.62 20120618 0240
-3.0 57.0 674.98 6.9 4.56 31.38 20120618 0240
-2.0 57.0 674.98 6.9 4.56 31.38 20120618 0240
-6.0 57.5 704.83 -14.7 1.32 2.4 20120618 0240
-5.0 57.5 853.37 -15.16 1.26 3.2 20120618 0240
-4.0 57.5 914.02 -7.65 1.04 5.91 20120618 0240
-3.0 57.5 854.76 -5.65 1.75 13.78 20120618 0240
-2.0 57.5 955.68 14.25 18.19 41.02 20120618 0240
-6.0 58.0 770.25 -14.65 1.48 2.66 20120618 0240
-5.0 58.0 853.37 -15.16 1.26 3.2 20120618 0240
-4.0 58.0 914.02 -7.65 1.04 5.91 20120618 0240
-3.0 58.0 894.11 -6.81 1.44 9.34 20120618 0240
-6.0 58.5 841.48 -14.35 2.22 3.61 20120618 0240
-5.0 58.5 941.56 -13.97 2.32 5.97 20120618 0240
-4.0 58.5 962.07 -10.27 1.68 7.51 20120618 0240
-6.0 59.0 1030.02 -13.21 6.73 15.69 20120618 0240
-5.0 59.0 1030.02 -13.21 6.73 15.69 20120618 0240
-6.0 52.0 328.14 -14.74 2.26 9.73 20120618 0240
-5.0 52.0 175.18 -14.65 4.3 13.91 20120618 0240
-7.0 52.5 314.43 -14.74 2.26 9.73 20120618 0240
-2.0 52.5 250.68 9.54 3.51 20.11 20120618 0240
-1.0 52.5 241.84 9.54 3.51 20.11 20120618 0240
-2.0 53.0 291.34 9.54 3.51 20.11 20120618 0240
-1.0 53.0 298.76 9.54 3.51 20.11 20120618 0240
-1.0 53.5 333.8 9.54 3.51 20.11 20120618 0240
-1.0 54.0 1035.29 9.28 3.34 17.76 20120618 0240
-1.0 54.5 1118.72 12.41 11.19 43.35 20120618 0240
-1.0 55.0 1245.15 12.41 11.19 43.35 20120618 0240
-1.0 55.5 1234.69 12.41 11.19 43.35 20120618 0240
-1.0 56.0 1169.17 19.76 9.99 29.92 20120618 0240
-1.0 56.5 263.05 14.85 10.95 37.86 20120618 0240
-6.0 52.5 343.6 -14.43 1.18 4.78 20120618 0242
-5.0 52.5 341.92 -14.45 2.61 7.48 20120618 0242
-6.0 53.0 348.17 -14.44 0.99 3.72 20120618 0242
-5.0 53.0 356.47 -14.79 2.01 5.11 20120618 0242
-6.0 53.5 350.56 -14.69 1.21 4.1 20120618 0242
-5.0 53.5 356.47 -14.79 2.01 5.11 20120618 0242
-4.0 53.5 362.56 6.78 0.98 10.16 20120618 0242
-3.0 53.5 371.49 8.14 0.98 6.75 20120618 0242
-2.0 53.5 371.49 8.14 0.98 6.75 20120618 0242
-5.0 54.0 546.18 2.43 2.34 47.16 20120618 0242
-4.0 54.0 362.56 6.78 0.98 10.16 20120618 0242
-3.0 54.0 371.49 8.14 0.98 6.75 20120618 0242
-2.0 54.0 371.49 8.14 0.98 6.75 20120618 0242
-6.0 54.5 562.44 -3.29 1.69 39.35 20120618 0242
-5.0 54.5 564.33 -6.22 1.54 14.73 20120618 0242
-4.0 54.5 546.05 -8.9 2.06 12.37 20120618 0242
-3.0 54.5 399.43 6.99 1.41 11.13 20120618 0242
-2.0 54.5 399.43 6.99 1.41 11.13 20120618 0242
-6.0 55.0 593.76 -6.64 1.48 16.43 20120618 0242
-5.0 55.0 602.71 -6.64 1.18 10.56 20120618 0242
-4.0 55.0 585.58 -8.97 1.87 10.53 20120618 0242
-3.0 55.0 462.47 7.2 3.05 24.38 20120618 0242
-2.0 55.0 462.47 7.2 3.05 24.38 20120618 0242
-6.0 55.5 638.9 -10.79 1.87 10.14 20120618 0242
-5.0 55.5 654.01 -6.65 0.91 8.11 20120618 0242
-4.0 55.5 654.01 -6.65 0.91 8.11 20120618 0242
-3.0 55.5 535.0 -6.0 3.25 30.51 20120618 0242
-2.0 55.5 595.01 7.09 3.43 32.26 20120618 0242
-6.0 56.0 695.26 -13.07 1.96 7.52 20120618 0242
-5.0 56.0 680.26 -7.06 0.9 7.3 20120618 0242
-4.0 56.0 680.26 -7.06 0.9 7.3 20120618 0242
-3.0 56.0 647.17 9.2 4.28 24.17 20120618 0242
-2.0 56.0 647.17 9.2 4.28 24.17 20120618 0242
-6.0 56.5 716.05 -16.19 2.15 3.86 20120618 0242
-5.0 56.5 752.74 -14.43 1.66 4.98 20120618 0242
-4.0 56.5 787.24 -8.35 1.14 7.09 20120618 0242
-3.0 56.5 698.35 10.03 4.58 23.67 20120618 0242
-2.0 56.5 698.35 10.03 4.58 23.67 20120618 0242
-6.0 57.0 748.16 -15.87 1.51 2.62 20120618 0242
-5.0 57.0 828.19 -14.23 1.64 4.82 20120618 0242
-4.0 57.0 856.23 -8.37 1.15 6.51 20120618 0242
-3.0 57.0 730.8 14.0 7.08 24.81 20120618 0242
-2.0 57.0 730.8 14.0 7.08 24.81 20120618 0242
-6.0 57.5 748.16 -15.87 1.51 2.62 20120618 0242
-5.0 57.5 904.57 -14.4 1.68 4.61 20120618 0242
-4.0 57.5 856.23 -8.37 1.15 6.51 20120618 0242
-3.0 57.5 823.59 -4.41 1.37 13.82 20120618 0242
-2.0 57.5 713.43 14.15 9.13 32.54 20120618 0242
-6.0 58.0 825.83 -16.17 1.8 3.14 20120618 0242
-5.0 58.0 904.57 -14.4 1.68 4.61 20120618 0242
-4.0 58.0 942.59 -8.52 1.67 9.07 20120618 0242
-3.0 58.0 843.7 -5.55 1.02 7.7 20120618 0242
-6.0 58.5 917.19 -16.71 2.67 3.03 20120618 0242
-5.0 58.5 981.31 -14.39 2.36 5.74 20120618 0242
-4.0 58.5 1069.93 -10.6 1.6 7.2 20120618 0242
-6.0 59.0 917.19 -16.71 2.67 3.03 20120618 0242
-5.0 59.0 1033.72 -15.35 6.91 11.82 20120618 0242
-6.0 52.0 341.3 -14.43 1.18 4.78 20120618 0242
-5.0 52.0 218.72 -14.45 2.61 7.48 20120618 0242
-7.0 52.5 348.55 -14.43 1.18 4.78 20120618 0242
-1.0 52.5 258.98 9.46 3.78 22.28 20120618 0242
-7.0 53.0 348.82 -14.44 0.99 3.72 20120618 0242
-2.0 53.0 300.12 9.46 3.78 22.28 20120618 0242
-1.0 53.0 323.0 9.46 3.78 22.28 20120618 0242
-1.0 53.5 342.48 9.46 3.78 22.28 20120618 0242
-1.0 54.0 1052.1 8.32 3.51 17.82 20120618 0242
-1.0 54.5 1312.37 8.32 3.51 17.82 20120618 0242
-1.0 55.0 1336.52 8.32 3.51 17.82 20120618 0242
-1.0 55.5 1210.86 18.82 10.84 32.49 20120618 0242
-1.0 56.0 1246.47 18.82 10.84 32.49 20120618 0242
-1.0 56.5 219.52 19.22 11.64 33.33 20120618 0242
-6.0 52.5 354.74 -15.04 2.32 9.14 20120618 0244
-5.0 52.5 341.3 -16.18 4.76 13.45 20120618 0244
-6.0 53.0 355.24 -17.93 1.55 3.93 20120618 0244
-5.0 53.0 355.24 -17.93 1.55 3.93 20120618 0244
-4.0 53.0 380.46 -10.05 2.77 19.96 20120618 0244
-3.0 53.0 382.45 10.61 1.59 10.42 20120618 0244
-2.0 53.0 382.45 10.61 1.59 10.42 20120618 0244
-6.0 53.5 355.24 -17.93 1.55 3.93 20120618 0244
-5.0 53.5 355.24 -17.93 1.55 3.93 20120618 0244
-4.0 53.5 367.5 6.02 1.03 13.53 20120618 0244
-3.0 53.5 377.28 7.86 0.77 5.66 20120618 0244
-2.0 53.5 377.28 7.86 0.77 5.66 20120618 0244
-5.0 54.0 544.39 5.68 3.79 27.71 20120618 0244
-4.0 54.0 367.5 6.02 1.03 13.53 20120618 0244
-3.0 54.0 377.28 7.86 0.77 5.66 20120618 0244
-2.0 54.0 377.28 7.86 0.77 5.66 20120618 0244
-6.0 54.5 572.89 -3.18 0.89 24.33 20120618 0244
-5.0 54.5 579.3 -3.32 0.58 11.52 20120618 0244
-4.0 54.5 545.24 -9.5 1.84 10.74 20120618 0244
-3.0 54.5 394.6 5.56 1.14 11.67 20120618 0244
-2.0 54.5 394.6 5.56 1.14 11.67 20120618 0244
-6.0 55.0 603.39 -6.14 1.14 13.92 20120618 0244
-5.0 55.0 592.65 -4.19 0.64 9.86 20120618 0244
-4.0 55.0 585.96 -9.22 1.74 9.68 20120618 0244
-3.0 55.0 568.61 6.63 2.35 21.04 20120618 0244
-2.0 55.0 568.61 6.63 2.35 21.04 20120618 0244
-6.0 55.5 651.75 -10.66 2.0 10.21 20120618 0244
-5.0 55.5 666.5 -6.32 0.76 7.3 20120618 0244
-4.0 55.5 666.5 -6.32 0.76 7.3 20120618 0244
-3.0 55.5 568.61 6.63 2.35 21.04 20120618 0244
-2.0 55.5 568.61 6.63 2.35 21.04 20120618 0244
-6.0 56.0 697.86 -11.55 2.16 9.01 20120618 0244
-5.0 56.0 691.91 -6.44 0.72 6.41 20120618 0244
-4.0 56.0 691.91 -6.44 0.72 6.41 20120618 0244
-3.0 56.0 661.59 10.52 4.72 24.12 20120618 0244
-2.0 56.0 661.59 10.52 4.72 24.12 20120618 0244
-6.0 56.5 801.7 -17.01 1.63 2.84 20120618 0244
-5.0 56.5 783.97 -13.11 1.73 5.91 20120618 0244
-4.0 56.5 793.54 -7.55 0.94 6.64 20120618 0244
-3.0 56.5 737.05 -3.15 1.23 20.06 20120618 0244
-2.0 56.5 661.59 10.52 4.72 24.12 20120618 0244
-6.0 57.0 842.22 -16.44 1.21 2.2 20120618 0244
-5.0 57.0 854.85 -12.83 1.68 5.49 20120618 0244
-4.0 57.0 859.16 -7.57 0.85 5.5 20120618 0244
-3.0 57.0 737.05 -3.15 1.23 20.06 20120618 0244
-2.0 57.0 716.18 13.72 7.53 27.58 20120618 0244
-6.0 57.5 842.22 -16.44 1.21 2.2 20120618 0244
-5.0 57.5 945.31 -12.84 1.69 5.26 20120618 0244
-4.0 57.5 859.16 -7.57 0.85 5.5 20120618 0244
-3.0 57.5 833.76 -4.31 0.69 7.4 20120618 0244
-2.0 57.5 721.98 12.97 9.58 35.72 20120618 0244
-6.0 58.0 919.35 -15.99 1.37 2.72 20120618 0244
-5.0 58.0 945.31 -12.84 1.69 5.26 20120618 0244
-4.0 58.0 833.76 -4.31 0.69 7.4 20120618 0244
-3.0 58.0 833.76 -4.31 0.69 7.4 20120618 0244
-6.0 58.5 1099.75 -17.23 2.73 3.52 20120618 0244
-5.0 58.5 1030.39 -12.92 2.63 7.29 20120618 0244
-4.0 58.5 1102.4 -7.18 2.04 13.04 20120618 0244
-6.0 59.0 1099.75 -17.23 2.73 3.52 20120618 0244
-5.0 59.0 1133.28 -14.66 7.02 13.5 20120618 0244
-6.0 52.0 353.09 -15.04 2.32 9.14 20120618 0244
-3.0 52.5 333.12 8.64 2.68 24.87 20120618 0244
-1.0 52.5 290.69 8.93 3.37 22.57 20120618 0244
-7.0 53.0 359.33 -16.99 1.48 5.11 20120618 0244
-1.0 53.0 328.06 8.93 3.37 22.57 20120618 0244
-1.0 53.5 343.28 8.15 2.27 14.58 20120618 0244
-1.0 54.0 1367.36 8.4 2.99 14.32 20120618 0244
-1.0 54.5 1415.89 9.25 11.19 48.52 20120618 0244
-1.0 55.0 1375.47 13.62 10.76 36.34 20120618 0244
-1.0 55.5 1418.66 13.62 10.76 36.34 20120618 0244
-1.0 56.0 1390.44 13.62 10.76 36.34 20120618 0244
-7.0 57.5 873.92 -16.24 1.47 2.64 20120618 0244
-7.0 58.0 909.82 -15.33 1.97 3.91 20120618 0244
-2.0 58.0 1923.14 13.87 10.55 45.57 20120618 0244
-4.0 53.0 373.94 5.87 1.65 23.62 20120618 0246
-3.0 53.0 383.45 7.71 1.27 9.38 20120618 0246
-2.0 53.0 383.45 7.71 1.27 9.38 20120618 0246
-4.0 53.5 374.65 4.42 1.13 20.27 20120618 0246
-3.0 53.5 383.45 7.71 1.27 9.38 20120618 0246
-2.0 53.5 383.45 7.71 1.27 9.38 20120618 0246
-5.0 54.0 547.71 -3.27 2.03 37.58 20120618 0246
-4.0 54.0 498.97 -9.86 2.5 13.73 20120618 0246
-3.0 54.0 388.31 5.35 1.01 10.31 20120618 0246
-2.0 54.0 388.31 5.35 1.01 10.31 20120618 0246
-6.0 54.5 565.27 -3.92 1.67 38.43 20120618 0246
-5.0 54.5 582.48 -5.97 1.14 12.96 20120618 0246
-4.0 54.5 562.4 -10.06 1.84 9.94 20120618 0246
-3.0 54.5 412.22 2.73 1.22 24.77 20120618 0246
-2.0 54.5 501.49 7.11 3.49 17.42 20120618 0246
-6.0 55.0 610.29 -8.57 1.35 10.81 20120618 0246
-5.0 55.0 621.9 -7.53 1.09 9.18 20120618 0246
-4.0 55.0 611.82 -10.1 1.56 8.1 20120618 0246
-3.0 55.0 551.98 -6.8 2.1 17.82 20120618 0246
-2.0 55.0 932.12 11.58 9.94 31.77 20120618 0246
-6.0 55.5 666.63 -11.87 1.68 6.95 20120618 0246
-5.0 55.5 663.36 -9.7 1.18 6.44 20120618 0246
-4.0 55.5 687.09 -8.33 1.23 7.99 20120618 0246
-3.0 55.5 551.98 -6.8 2.1 17.82 20120618 0246
-2.0 55.5 643.18 5.12 1.86 20.5 20120618 0246
-6.0 56.0 783.2 -17.36 1.86 2.66 20120618 0246
-5.0 56.0 731.74 -13.61 1.67 5.21 20120618 0246
-4.0 56.0 719.41 -7.54 0.94 7.43 20120618 0246
-3.0 56.0 709.96 -4.2 1.43 18.59 20120618 0246
-2.0 56.0 643.18 5.12 1.86 20.5 20120618 0246
-6.0 56.5 834.56 -16.6 1.41 2.31 20120618 0246
-5.0 56.5 799.59 -13.83 1.48 4.23 20120618 0246
-4.0 56.5 749.85 -7.6 1.01 7.69 20120618 0246
-3.0 56.5 709.96 -4.2 1.43 18.59 20120618 0246
-2.0 56.5 693.6 8.95 5.34 29.88 20120618 0246
-6.0 57.0 866.26 -16.56 1.16 1.92 20120618 0246
-5.0 57.0 831.1 -13.78 1.49 4.19 20120618 0246
-4.0 57.0 887.4 -8.46 0.83 4.89 20120618 0246
-3.0 57.0 774.58 -2.86 0.96 15.5 20120618 0246
-2.0 57.0 742.02 11.82 8.27 31.77 20120618 0246
-6.0 57.5 946.47 -16.32 1.16 2.07 20120618 0246
-5.0 57.5 965.27 -9.18 0.76 3.86 20120618 0246
-4.0 57.5 965.27 -9.18 0.76 3.86 20120618 0246
-3.0 57.5 795.85 -3.25 1.04 14.95 20120618 0246
-2.0 57.5 779.28 -2.32 1.64 38.1 20120618 0246
-6.0 58.0 992.54 -15.98 1.38 2.65 20120618 0246
-5.0 58.0 965.27 -9.18 0.76 3.86 20120618 0246
-4.0 58.0 965.27 -9.18 0.76 3.86 20120618 0246
-3.0 58.0 821.01 -3.67 1.4 17.84 20120618 0246
-2.0 58.0 779.28 -2.32 1.64 38.1 20120618 0246
-6.0 58.5 1254.29 -16.33 2.24 2.96 20120618 0246
-5.0 58.5 1023.54 -10.37 1.8 6.95 20120618 0246
-4.0 58.5 1040.81 -8.64 1.42 7.53 20120618 0246
-6.0 59.0 1254.29 -16.33 2.24 2.96 20120618 0246
-5.0 59.0 1153.02 -13.95 6.77 14.0 20120618 0246
-5.0 52.5 176.94 -8.17 3.85 33.41 20120618 0246
-3.0 52.5 441.57 6.62 1.45 14.44 20120618 0246
-1.0 52.5 302.95 6.72 1.9 14.46 20120618 0246
-1.0 53.0 351.92 6.72 1.9 14.46 20120618 0246
-5.0 53.5 448.98 -3.28 1.04 20.65 20120618 0246
-1.0 53.5 358.32 6.31 1.4 10.13 20120618 0246
-1.0 54.0 1284.61 6.85 2.94 16.59 20120618 0246
-1.0 54.5 1331.74 8.11 8.91 37.98 20120618 0246
-1.0 55.0 1432.69 11.58 9.94 31.77 20120618 0246
-1.0 55.5 1328.48 18.48 10.81 32.03 20120618 0246
-1.0 56.0 1375.0 18.48 10.81 32.03 20120618 0246
-7.0 57.5 904.6 -16.32 1.16 2.07 20120618 0246
-7.0 58.0 954.63 -15.78 1.8 3.45 20120618 0246
-7.0 58.5 969.07 -16.28 3.36 5.05 20120618 0246
-6.0 52.5 295.93 -16.91 3.42 12.01 20120618 0248
-5.0 52.5 295.93 -16.91 3.42 12.01 20120618 0248
-6.0 53.0 295.93 -16.91 3.42 12.01 20120618 0248
-5.0 53.0 295.93 -16.91 3.42 12.01 20120618 0248
-4.0 53.0 382.22 4.77 1.43 25.05 20120618 0248
-3.0 53.0 381.62 5.42 1.22 14.26 20120618 0248
-2.0 53.0 381.62 5.42 1.22 14.26 20120618 0248
-5.0 53.5 531.91 9.13 3.52 17.1 20120618 0248
-4.0 53.5 531.91 9.13 3.52 17.1 20120618 0248
-3.0 53.5 381.62 5.42 1.22 14.26 20120618 0248
-2.0 53.5 397.85 6.4 1.74 11.66 20120618 0248
-5.0 54.0 564.52 -4.26 1.69 26.02 20120618 0248
-4.0 54.0 517.31 -10.88 2.47 12.45 20120618 0248
-3.0 54.0 398.55 3.47 0.98 16.71 20120618 0248
-2.0 54.0 427.93 6.62 2.32 14.19 20120618 0248
-6.0 54.5 589.9 -9.26 1.32 11.02 20120618 0248
-5.0 54.5 599.32 -7.2 0.92 8.46 20120618 0248
-4.0 54.5 550.65 -11.29 1.97 9.33 20120618 0248
-3.0 54.5 412.45 -3.93 1.28 21.22 20120618 0248
-2.0 54.5 541.4 7.79 3.08 14.22 20120618 0248
-6.0 55.0 639.15 -12.19 1.36 6.84 20120618 0248
-5.0 55.0 639.15 -12.19 1.36 6.84 20120618 0248
-4.0 55.0 646.87 -10.08 1.75 9.55 20120618 0248
-3.0 55.0 591.54 -7.86 2.26 17.41 20120618 0248
-2.0 55.0 816.35 16.66 8.67 24.57 20120618 0248
-6.0 55.5 705.29 -14.88 1.6 4.99 20120618 0248
-5.0 55.5 705.29 -14.88 1.6 4.99 20120618 0248
-4.0 55.5 671.54 -9.32 1.56 8.77 20120618 0248
-3.0 55.5 591.54 -7.86 2.26 17.41 20120618 0248
-2.0 55.5 753.83 18.06 8.58 24.4 20120618 0248
-6.0 56.0 735.5 -16.29 1.98 3.18 20120618 0248
-5.0 56.0 757.34 -14.95 1.29 3.58 20120618 0248
-4.0 56.0 758.16 -8.61 1.25 8.64 20120618 0248
-3.0 56.0 725.28 -4.32 1.59 20.72 20120618 0248
-2.0 56.0 753.83 18.06 8.58 24.4 20120618 0248
-6.0 56.5 752.32 -15.84 1.51 2.44 20120618 0248
-5.0 56.5 829.94 -15.03 1.15 3.08 20120618 0248
-4.0 56.5 870.36 -9.24 1.21 6.93 20120618 0248
-3.0 56.5 720.5 -3.63 0.94 12.56 20120618 0248
-2.0 56.5 750.26 19.3 12.08 28.32 20120618 0248
-6.0 57.0 876.31 -16.81 1.01 1.91 20120618 0248
-5.0 57.0 902.86 -15.02 1.08 2.82 20120618 0248
-4.0 57.0 936.46 -10.15 0.94 4.61 20120618 0248
-3.0 57.0 762.55 -4.27 0.84 9.17 20120618 0248
-2.0 57.0 834.46 19.77 15.91 39.42 20120618 0248
-6.0 57.5 876.31 -16.81 1.01 1.91 20120618 0248
-5.0 57.5 902.86 -15.02 1.08 2.82 20120618 0248
-4.0 57.5 1006.87 -10.89 0.93 3.92 20120618 0248
-3.0 57.5 762.55 -4.27 0.84 9.17 20120618 0248
-2.0 57.5 757.39 -4.65 0.88 9.75 20120618 0248
-6.0 58.0 954.42 -16.68 1.49 2.92 20120618 0248
-5.0 58.0 992.92 -14.43 1.21 3.21 20120618 0248
-4.0 58.0 1006.87 -10.89 0.93 3.92 20120618 0248
-3.0 58.0 797.13 -4.43 1.46 15.2 20120618 0248
-2.0 58.0 768.8 -5.01 1.5 15.4 20120618 0248
-6.0 58.5 1268.31 -16.15 2.95 4.52 20120618 0248
-5.0 58.5 1268.31 -16.15 2.95 4.52 20120618 0248
-4.0 58.5 1041.87 -10.16 1.63 6.94 20120618 0248
-6.0 59.0 1268.31 -16.15 2.95 4.52 20120618 0248
-5.0 59.0 1268.31 -16.15 2.95 4.52 20120618 0248
-6.0 52.0 318.46 -14.73 5.21 24.14 20120618 0248
-5.0 52.0 164.03 -16.7 4.21 15.76 20120618 0248
-3.0 52.0 440.54 4.33 1.92 35.9 20120618 0248
-1.0 52.0 196.31 4.52 2.29 27.75 20120618 0248
-3.0 52.5 411.8 4.33 1.92 35.9 20120618 0248
-1.0 52.5 337.1 4.52 2.29 27.75 20120618 0248
-1.0 53.0 366.74 4.52 2.29 27.75 20120618 0248
-1.0 53.5 363.27 6.4 1.74 11.66 20120618 0248
-1.0 54.0 1202.92 7.3 3.22 16.8 20120618 0248
-1.0 54.5 1294.22 9.57 7.72 28.17 20120618 0248
-7.0 55.0 344.37 -17.15 2.25 3.52 20120618 0248
-1.0 55.0 1218.86 16.66 8.67 24.57 20120618 0248
-7.0 55.5 343.81 -17.15 2.25 3.52 20120618 0248
-1.0 55.5 1251.04 18.06 8.58 24.4 20120618 0248
-7.0 56.0 353.7 -17.15 2.25 3.52 20120618 0248
-1.0 56.0 1098.19 14.17 8.59 26.78 20120618 0248
-7.0 56.5 543.04 -15.84 1.51 2.44 20120618 0248
-7.0 57.0 862.48 -16.71 1.44 2.59 20120618 0248
-1.0 57.0 1204.95 19.77 15.91 39.42 20120618 0248
-7.0 57.5 881.51 -16.81 1.19 2.3 20120618 0248
-1.0 57.5 1290.67 19.77 15.91 39.42 20120618 0248
-7.0 58.0 956.84 -16.06 1.75 3.45 20120618 0248
-7.0 58.5 1284.98 -15.66 5.57 10.31 20120618 0248
-7.0 59.0 1021.15 -16.23 13.46 25.13 20120618 0248
-4.0 53.0 378.69 5.23 1.51 24.35 20120618 0250
-3.0 53.0 378.04 5.72 1.25 14.19 20120618 0250
-2.0 53.0 378.04 5.72 1.25 14.19 20120618 0250
-5.0 53.5 545.4 10.65 1.9 9.97 20120618 0250
-4.0 53.5 545.4 10.65 1.9 9.97 20120618 0250
-3.0 53.5 378.04 5.72 1.25 14.19 20120618 0250
-2.0 53.5 433.67 8.04 2.7 13.58 20120618 0250
-5.0 54.0 553.74 5.53 3.55 35.98 20120618 0250
-4.0 54.0 522.95 -9.24 2.66 15.97 20120618 0250
-3.0 54.0 399.87 3.92 1.03 16.42 20120618 0250
-2.0 54.0 541.0 9.89 2.32 8.52 20120618 0250
-6.0 54.5 600.93 -10.27 1.16 9.02 20120618 0250
-5.0 54.5 600.93 -10.27 1.16 9.02 20120618 0250
-4.0 54.5 557.65 -9.75 2.09 11.52 20120618 0250
-3.0 54.5 418.98 -3.47 1.43 27.39 20120618 0250
-2.0 54.5 594.99 10.27 1.91 6.36 20120618 0250
-6.0 55.0 654.51 -13.01 1.66 7.13 20120618 0250
