dateStr radId minTime maxTime
20110205 33.0 230 330
20110205 204.0 330 330
20110205 205.0 230 330
20110205 206.0 230 330
20110205 207.0 230 330
20110302 32.0 100 230
20110302 33.0 100 230
20110302 205.0 200 230
20110302 206.0 100 230
20110302 207.0 100 230
20110310 32.0 600 600
20110310 33.0 600 600
20110310 205.0 600 600
20110310 206.0 600 600
20110310 207.0 600 600
20110312 32.0 30 30
20110312 33.0 30 30
20110312 205.0 30 30
20110312 207.0 30 30
20110403 32.0 400 600
20110403 33.0 400 600
20110403 206.0 400 600
20110403 207.0 400 600
20110404 32.0 400 630
20110404 33.0 400 500
20110404 204.0 430 500
20110404 205.0 400 630
20110404 206.0 430 630
20110404 207.0 400 630
20110409 33.0 800 900
20110409 204.0 800 930
20110409 205.0 800 930
20110409 206.0 800 930
20110409 207.0 800 930
20110413 32.0 400 530
20110413 33.0 400 600
20110413 204.0 400 600
20110413 205.0 400 530
20110413 206.0 400 600
20110413 207.0 400 600
20110430 32.0 430 430
20110430 33.0 430 430
20110430 204.0 430 430
20110430 205.0 430 430
20110501 32.0 300 530
20110501 33.0 300 530
20110501 204.0 330 530
20110501 205.0 300 530
20110501 206.0 300 530
20110501 207.0 300 500
20110502 32.0 100 630
20110502 33.0 100 630
20110502 204.0 500 630
20110502 205.0 100 630
20110502 206.0 130 600
20110502 207.0 100 630
20110503 32.0 500 500
20110503 204.0 500 500
20110503 205.0 500 500
20110503 206.0 500 500
20110503 207.0 500 500
20110529 32.0 500 530
20110529 33.0 130 530
20110529 204.0 130 500
20110529 205.0 130 530
20110529 206.0 200 530
20110529 207.0 130 530
20110531 33.0 630 830
20110531 204.0 630 830
20110531 205.0 630 800
20110531 206.0 630 830
20110531 207.0 630 830
20110602 32.0 700 700
20110602 33.0 700 700
20110602 204.0 700 730
20110602 205.0 700 730
20110602 206.0 700 730
20110602 207.0 700 730
20110605 32.0 100 100
20110605 33.0 100 100
20110605 204.0 100 100
20110605 205.0 100 100
20110605 206.0 100 100
20110605 207.0 100 100
20110608 32.0 430 430
20110608 33.0 430 500
